AGI	Hydrophilicity	Glycine
At5g43280	0.06	0.07
At5g48880	0.08	0.10
At2g02500	-0.11	0.05
At5g62790	-0.09	0.07
At1g09400	-0.42	0.08
At1g13280	-0.34	0.09
At1g17420	-0.45	0.05
At1g17990	-0.37	0.09
At1g19640	-0.27	0.07
At1g55020	-0.45	0.06
At1g72520	-0.47	0.05
At2g44810	-0.29	0.07
At3g22400	-0.48	0.05
At5g42650	-0.25	0.07
At1g45130	-0.26	0.10
At1g72990	-0.25	0.08
At1g77410	-0.37	0.08
At2g16730	-0.54	0.08
At2g32810	-0.33	0.09
At3g52840	-0.26	0.09
At3g53080	-0.27	0.10
At4g26140	-0.33	0.09
At4g35010	-0.50	0.08
At4g36360	-0.28	0.10
At5g20710	-0.48	0.09
At5g56870	-0.24	0.09
At5g63800	-0.25	0.10
At5g63810	-0.37	0.09
At1g45130	-0.26	0.10
At1g72990	-0.25	0.08
At1g77410	-0.37	0.08
At2g16730	-0.54	0.08
At2g32810	-0.33	0.09
At3g52840	-0.26	0.09
At3g53080	-0.27	0.10
At4g26140	-0.33	0.09
At4g35010	-0.50	0.08
At4g36360	-0.28	0.10
At5g20710	-0.48	0.09
At5g56870	-0.24	0.09
At5g63800	-0.25	0.10
At5g63810	-0.37	0.09
At1g23190	-0.25	0.09
At1g30620	-0.28	0.08
At1g45130	-0.26	0.10
At1g64440	-0.22	0.10
At1g70730	-0.21	0.09
At1g70820	-0.21	0.09
At1g72990	-0.25	0.08
At1g77410	-0.37	0.08
At2g16730	-0.54	0.08
At2g32810	-0.33	0.09
At2g34850	-0.46	0.08
At3g03250	-0.15	0.06
At3g10700	-0.16	0.09
At3g52840	-0.26	0.09
At3g53080	-0.27	0.10
At4g10960	-0.20	0.09
At4g16130	-0.12	0.08
At4g20460	-0.16	0.08
At4g23920	-0.28	0.09
At4g26140	-0.33	0.09
At4g35010	-0.50	0.08
At4g36360	-0.28	0.10
At5g17530	-0.17	0.08
At5g20710	-0.48	0.09
At5g44480	-0.25	0.08
At5g51820	-0.17	0.09
At5g56870	-0.24	0.09
At5g63800	-0.25	0.10
At5g63810	-0.37	0.09
At1g79230	-0.31	0.06
At1g18500	-0.24	0.07
At1g31180	-0.12	0.09
At1g74040	-0.21	0.08
At1g80560	-0.06	0.09
At2g43090	-0.16	0.08
At2g43100	-0.12	0.09
At3g58990	-0.09	0.08
At4g13430	-0.18	0.09
At5g03290	-0.07	0.08
At5g14200	-0.08	0.09
At5g23010	-0.19	0.08
At5g23020	-0.27	0.07
At1g03090	-0.30	0.08
At1g21400	-0.45	0.06
At2g26800	-0.04	0.08
At4g34030	-0.14	0.11
At1g15950	-0.28	0.06
At1g51680	0.02	0.06
At1g65060	-0.03	0.07
At2g30490	-0.20	0.06
At2g37040	-0.16	0.08
At2g40890	-0.28	0.06
At3g10340	-0.18	0.08
At3g19450	0.14	0.10
At3g21230	-0.03	0.06
At3g21240	-0.01	0.06
At3g48990	-0.11	0.07
At3g53260	-0.18	0.08
At4g05160	0.00	0.08
At4g19010	0.11	0.07
At4g24520	-0.32	0.07
At4g26220	-0.22	0.07
At4g30210	-0.23	0.06
At4g34050	-0.35	0.06
At4g36220	-0.15	0.06
At5g04230	-0.16	0.07
At5g38120	-0.02	0.07
At5g63380	-0.03	0.07
At2g42010	-0.56	0.08
At2g44810	-0.29	0.07
At3g08510	-0.49	0.06
At3g15730	-0.41	0.08
At3g16785	-0.46	0.06
At3g45880	-0.31	0.06
At4g35790	-0.41	0.06
At4g37070	-0.15	0.07
At5g58670	-0.50	0.06
At1g13280	-0.34	0.09
At1g17420	-0.45	0.05
At1g55020	-0.45	0.06
At1g72520	-0.47	0.05
At3g22400	-0.48	0.05
At3g45140	-0.48	0.06
At4g15440	-0.08	0.08
At5g42650	-0.25	0.07
At4g20380	-0.11	0.06
At4g21610	-0.64	0.05
At1g14810	-0.13	0.07
At2g45440	-0.17	0.09
At3g02020	0.04	0.06
At3g14390	-0.18	0.07
At3g53450	-0.06	0.10
At3g53580	-0.15	0.10
At3g60880	-0.24	0.09
At5g03270	-0.09	0.09
At5g06300	-0.10	0.08
At5g11880	-0.16	0.07
At5g11950	-0.07	0.11
At5g13280	0.05	0.07
At5g26140	-0.17	0.08
At5g52100	0.14	0.07
At4g33150	-0.14	0.07
At5g48230	0.18	0.13
At5g48230	0.18	0.13
At4g11570	-0.42	0.05
At1g67070	-0.25	0.07
At1g74910	0.04	0.07
At2g04650	-0.06	0.07
At2g45790	-0.38	0.08
At3g02570	-0.29	0.06
At4g30570	0.02	0.08
At2g41490	0.61	0.06
At3g01120	0.11	0.07
At3g25900	-0.15	0.07
At3g57050	-0.11	0.06
At3g63250	-0.21	0.08
At5g20980	-0.17	0.05
At1g02500	-0.30	0.09
At4g13610	-0.53	0.06
At4g13940	-0.12	0.08
At4g19020	-0.63	0.07
At5g49160	-0.47	0.07
At1g11840	-0.33	0.10
At3g10850	-0.46	0.07
At1g78510	-0.03	0.07
At2g38700	-0.27	0.06
At3g02780	-0.29	0.04
At3g54250	-0.29	0.06
At4g11820	-0.29	0.07
At4g17190	-0.26	0.05
At5g27450	0.08	0.08
At5g47770	-0.23	0.05
At5g48230	0.18	0.13
At1g37130	-0.36	0.08
At1g48470	-0.48	0.10
At1g66200	-0.42	0.11
At1g77760	-0.38	0.07
At2g15620	-0.38	0.08
At3g17820	-0.46	0.12
At3g53170	-0.13	0.06
At3g53180	-0.13	0.07
At5g16570	-0.43	0.11
At5g37600	-0.42	0.11
At1g12230	-0.04	0.06
At1g64190	-0.26	0.10
At1g71100	0.15	0.10
At2g01290	0.06	0.10
At2g45290	-0.25	0.09
At3g01850	0.06	0.08
At3g02360	-0.29	0.10
At3g04790	0.10	0.10
At5g13420	-0.18	0.06
At5g41670	-0.27	0.10
At5g44520	0.02	0.08
At1g63380	0.08	0.09
At1g74030	-0.18	0.09
At2g36580	0.02	0.06
At3g01260	-1.16	0.07
At3g04050	-0.05	0.06
At3g17940	-0.40	0.11
At3g22960	-0.11	0.07
At3g25960	0.04	0.07
At3g49160	-0.17	0.07
At3g55650	0.03	0.07
At3g55810	0.06	0.07
At4g26390	-0.02	0.07
At5g08570	0.03	0.07
At5g15140	-1.02	0.10
At5g52920	-0.20	0.07
At5g56350	-0.02	0.07
At5g63680	-0.02	0.07
At4g08870	-0.23	0.10
At5g52810	-0.12	0.07
At1g16350	-0.12	0.10
At1g17410	-0.13	0.06
At1g27450	0.10	0.06
At1g63660	-0.14	0.08
At1g79470	-0.10	0.11
At1g80050	0.22	0.08
At2g37250	-0.28	0.10
At2g39270	-0.27	0.08
At2g41880	-0.29	0.10
At3g01820	-0.30	0.07
At3g57550	-0.32	0.10
At3g57610	-0.12	0.11
At4g04880	-0.09	0.05
At4g09320	-0.03	0.09
At4g11010	-0.10	0.09
At4g12440	0.17	0.06
At4g22570	0.01	0.09
At5g11160	0.16	0.09
At5g35170	-0.34	0.06
At5g47840	-0.43	0.06
At5g50370	-0.43	0.06
At5g63400	-0.43	0.07
At4g08870	-0.23	0.10
At5g52810	-0.12	0.07
At1g23820	-0.15	0.07
At1g70310	-0.10	0.08
At5g19530	-0.31	0.06
At5g53120	-0.07	0.08
At1g09420	-0.32	0.07
At1g13700	-0.13	0.04
At1g24280	-0.32	0.06
At1g64190	-0.26	0.10
At3g02360	-0.29	0.10
At3g27300	-0.46	0.07
At3g49360	-0.17	0.05
At5g13110	-0.37	0.06
At5g24400	-0.20	0.05
At5g24410	-0.11	0.04
At5g24420	-0.23	0.04
At5g35790	-0.40	0.06
At5g40760	-0.44	0.07
At5g41670	-0.27	0.10
At1g60440	-0.16	0.11
At2g46110	0.06	0.08
At3g18030	-0.03	0.06
At3g61530	0.01	0.08
At5g48840	-0.16	0.10
At1g08250	-0.10	0.05
At1g11790	-0.15	0.05
At1g69370	-0.42	0.03
At1g71920	-0.16	0.06
At2g20610	-0.15	0.06
At2g24850	-0.10	0.07
At3g29200	-0.41	0.06
At4g23590	-0.14	0.06
At4g23600	-0.15	0.05
At4g28420	-0.08	0.06
At5g10330	-0.15	0.06
At5g10870	-0.38	0.04
At5g36160	0.12	0.06
At5g53970	0.07	0.07
At2g30490	-0.20	0.06
At2g37040	-0.16	0.08
At3g10340	-0.18	0.08
At3g53260	-0.18	0.08
At4g24520	-0.32	0.07
At4g30210	-0.23	0.06
At5g04230	-0.16	0.07
At1g32200	-0.25	0.06
At1g51260	0.29	0.04
At1g75020	0.24	0.05
At3g18850	0.15	0.04
At1g15080	0.39	0.08
At1g62430	0.39	0.06
At1g68000	0.66	0.03
At2g01180	0.10	0.08
At2g39290	0.21	0.05
At2g45150	0.39	0.11
At3g55030	0.51	0.07
At3g60620	0.32	0.09
At4g22340	0.40	0.07
At4g25970	-0.13	0.07
At4g26770	0.05	0.06
At4g38570	0.70	0.03
At5g57190	-0.13	0.07
At2g29980	-0.09	0.06
At3g11170	-0.31	0.06
At3g12120	-0.08	0.06
At4g30950	-0.07	0.04
At5g05580	-0.32	0.06
At1g68010	-0.06	0.08
At2g13360	0.03	0.08
At2g35120	-0.33	0.07
At2g35370	-0.25	0.05
At3g14150	-0.04	0.07
At3g14415	-0.02	0.07
At4g18360	-0.01	0.07
At5g06580	-0.15	0.07
At5g38410	-0.21	0.06
At1g51680	0.02	0.06
At1g53520	0.00	0.07
At1g65060	-0.03	0.07
At2g30490	-0.20	0.06
At2g37040	-0.16	0.08
At3g10340	-0.18	0.08
At3g21230	-0.03	0.06
At3g21240	-0.01	0.06
At3g48990	-0.11	0.07
At3g53260	-0.18	0.08
At3g55120	0.04	0.07
At4g05160	0.00	0.08
At4g19010	0.11	0.07
At4g24520	-0.32	0.07
At4g30210	-0.23	0.06
At5g04230	-0.16	0.07
At5g05270	-0.27	0.08
At5g38120	-0.02	0.07
At5g63380	-0.03	0.07
At5g66220	-0.15	0.06
At1g23820	-0.15	0.07
At1g70310	-0.10	0.08
At2g16500	-0.08	0.10
At2g27450	-0.27	0.08
At3g02470	-0.26	0.07
At4g34710	-0.09	0.09
At5g08170	-0.44	0.07
At5g15950	-0.27	0.07
At5g18930	-0.28	0.05
At5g53120	-0.07	0.08
At1g78510	-0.03	0.07
At3g02780	-0.29	0.04
At4g17190	-0.26	0.05
At5g47770	-0.23	0.05
At5g60500	0.07	0.06
At5g60510	-0.03	0.07
At3g14050	-0.30	0.05
At4g02260	-0.22	0.06
At1g61720	-0.16	0.06
At5g14800	0.25	0.10
At1g04710	-0.04	0.10
At2g33150	-0.03	0.09
At4g37470	0.18	0.07
At5g48880	0.08	0.10
At1g12230	-0.04	0.06
At1g71100	0.15	0.10
At2g01290	0.06	0.10
At2g42910	0.08	0.05
At2g44530	0.04	0.07
At2g45290	-0.25	0.09
At3g04790	0.10	0.10
At5g13420	-0.18	0.06
At5g44520	0.02	0.08
At1g09830	-0.01	0.10
At1g16350	-0.12	0.10
At1g31220	-0.14	0.08
At1g63660	-0.14	0.08
At1g74260	-0.13	0.08
At1g79470	-0.10	0.11
At2g35040	-0.24	0.08
At2g37690	-0.08	0.08
At3g21110	-0.33	0.05
At3g55010	0.02	0.12
At3g57610	-0.12	0.11
At4g17360	-0.18	0.05
At4g18440	-0.16	0.05
At4g34740	-0.10	0.08
At4g38880	0.01	0.07
At2g01350	0.03	0.07
At5g14760	-0.09	0.07
At2g17630	-0.22	0.07
At3g19030	0.30	0.05
At5g49970	-0.36	0.07
At5g37850	-0.07	0.07
At5g49970	-0.36	0.07
At1g29900	-0.10	0.07
At3g20330	-0.19	0.06
At3g27740	-0.30	0.09
At3g54470	0.07	0.08
At4g22930	-0.12	0.06
At5g23300	-0.10	0.11
At1g17410	-0.13	0.06
At1g26190	-0.40	0.05
At1g30820	-0.12	0.09
At1g55810	-0.19	0.07
At1g73980	-0.32	0.06
At2g19570	-0.10	0.07
At2g34890	-0.19	0.08
At3g10030	-0.55	0.08
At3g12670	-0.09	0.10
At3g27190	-0.14	0.07
At3g53900	0.14	0.07
At3g54470	0.07	0.08
At3g60180	-0.43	0.06
At4g02120	-0.05	0.08
At4g09320	-0.03	0.09
At4g11010	-0.10	0.09
At4g20320	-0.23	0.09
At4g26510	-0.13	0.07
At4g29570	-0.05	0.07
At4g29580	-0.10	0.06
At4g29600	-0.14	0.06
At5g28050	-0.11	0.08
At1g03040	-0.40	0.10
At1g34430	0.13	0.09
At1g48030	-0.05	0.10
At1g54220	-0.41	0.06
At3g16950	-0.03	0.09
At3g17240	-0.03	0.10
At3g25860	0.03	0.06
At3g52200	-0.25	0.06
At4g25100	-0.35	0.06
At4g35090	-0.57	0.05
At3g01850	0.06	0.08
At4g30310	-0.02	0.09
At1g06730	0.02	0.08
At1g17160	-0.05	0.08
At1g19600	0.02	0.10
At1g71100	0.15	0.10
At2g01290	0.06	0.10
At2g45290	-0.25	0.09
At3g04790	0.10	0.10
At5g44520	0.02	0.08
At1g18870	-0.23	0.07
At1g74710	-0.23	0.07
At2g37040	-0.16	0.08
At3g10340	-0.18	0.08
At3g53260	-0.18	0.08
At5g04230	-0.16	0.07
At1g18640	-0.03	0.08
At1g72190	-0.01	0.08
At2g17630	-0.22	0.07
At3g19030	0.30	0.05
At4g34200	0.14	0.08
At1g09780	-0.27	0.10
At1g22020	-0.37	0.08
At1g22170	-0.38	0.05
At1g74030	-0.18	0.09
At1g78040	-0.27	0.05
At1g78050	-0.44	0.05
At2g42790	-0.21	0.07
At2g44350	-0.22	0.07
At3g08590	-0.26	0.10
At3g21720	-0.36	0.07
At3g58740	-0.24	0.08
At3g58750	-0.17	0.07
At3g60100	-0.15	0.08
At4g00570	-0.09	0.09
At4g13890	-0.29	0.08
At4g26970	-0.25	0.08
At4g32520	-0.19	0.08
At4g35830	-0.16	0.09
At4g37930	-0.33	0.07
At5g04120	-0.34	0.08
At5g26780	-0.28	0.07
At2g22990	-0.28	0.08
At2g40890	-0.28	0.06
At4g36220	-0.15	0.06
At1g11720	-0.46	0.07
At1g23190	-0.25	0.09
At1g27680	-0.18	0.08
At1g70730	-0.21	0.09
At1g70820	-0.21	0.09
At2g21590	-0.27	0.08
At3g01180	-0.43	0.07
At3g20440	-0.41	0.08
At4g24620	-0.17	0.08
At4g39210	-0.31	0.07
At5g03650	-0.50	0.08
At5g17530	-0.17	0.08
At5g19220	-0.21	0.08
At5g42740	-0.11	0.07
At5g48300	-0.17	0.07
At5g51820	-0.17	0.09
At1g03310	-0.28	0.06
At1g67490	-0.37	0.08
At1g69830	-0.55	0.08
At1g76130	-0.51	0.09
At2g32290	-0.58	0.07
At2g39930	-0.39	0.07
At2g40840	-0.43	0.06
At2g45880	-0.44	0.09
At3g23920	-0.41	0.10
At3g29320	-0.36	0.06
At4g00490	-0.34	0.08
At4g15210	-0.37	0.09
At4g17090	-0.60	0.10
At4g25000	-0.32	0.09
At5g04360	-0.30	0.07
At5g11720	-0.26	0.08
At5g18670	-0.24	0.09
At5g45300	-0.47	0.09
At5g55700	-0.28	0.08
At5g64860	-0.32	0.07
At1g51680	0.02	0.06
At1g65060	-0.03	0.07
At2g30490	-0.20	0.06
At2g37040	-0.16	0.08
At2g40890	-0.28	0.06
At2g45970	-0.10	0.06
At3g10340	-0.18	0.08
At3g21240	-0.01	0.06
At3g53260	-0.18	0.08
At4g24520	-0.32	0.07
At4g26220	-0.22	0.07
At4g30210	-0.23	0.06
At4g34050	-0.35	0.06
At5g04230	-0.16	0.07
At1g03160	-0.13	0.05
At1g04920	-0.48	0.07
At1g06020	-0.11	0.08
At1g23190	-0.25	0.09
At1g43670	-0.15	0.09
At1g50390	-0.18	0.06
At1g66430	-0.11	0.07
At1g69200	-0.58	0.06
At1g70730	-0.21	0.09
At1g70820	-0.21	0.09
At1g73370	-0.39	0.07
At2g31390	-0.06	0.09
At3g03250	-0.15	0.06
At3g43190	-0.30	0.06
At3g54050	-0.22	0.09
At3g54090	-0.50	0.06
At3g59480	0.05	0.09
At4g02280	-0.27	0.07
At4g10120	-0.46	0.07
At4g10260	-0.04	0.09
At4g24620	-0.17	0.08
At5g11110	-0.34	0.07
At5g17530	-0.17	0.08
At5g20280	-0.47	0.07
At5g20830	-0.33	0.06
At5g37180	-0.33	0.07
At5g42740	-0.11	0.07
At5g49190	-0.23	0.06
At5g51820	-0.17	0.09
At5g51830	0.00	0.09
At5g64380	-0.24	0.09
At1g03160	-0.13	0.05
At1g06020	-0.11	0.08
At1g12240	-0.29	0.08
At1g22650	-0.22	0.07
At1g23190	-0.25	0.09
At1g35580	-0.23	0.07
At1g47840	-0.12	0.09
At1g50390	-0.18	0.06
At1g50460	0.01	0.09
At1g55120	-0.42	0.07
At1g56560	-0.28	0.05
At1g62660	-0.31	0.07
At1g66430	-0.11	0.07
At1g69200	-0.58	0.06
At1g70730	-0.21	0.09
At1g70820	-0.21	0.09
At1g73370	-0.39	0.07
At2g31390	-0.06	0.09
At2g36190	-0.42	0.07
At3g03250	-0.15	0.06
At3g05820	-0.36	0.05
At3g06500	-0.27	0.08
At3g13784	-0.43	0.07
At3g13790	-0.48	0.07
At3g20040	0.04	0.08
At3g43190	-0.30	0.06
At3g52600	-0.52	0.08
At3g54090	-0.50	0.06
At3g59480	0.05	0.09
At4g02280	-0.27	0.07
At4g09510	-0.25	0.06
At4g10260	-0.04	0.09
At4g24620	-0.17	0.08
At4g29130	0.05	0.09
At4g34860	-0.26	0.06
At4g37840	-0.10	0.08
At5g17530	-0.17	0.08
At5g20830	-0.33	0.06
At5g22510	-0.19	0.06
At5g37180	-0.33	0.07
At5g42740	-0.11	0.07
At5g49190	-0.23	0.06
At5g51820	-0.17	0.09
At5g51830	0.00	0.09
At1g19920	-0.41	0.07
At1g55920	-0.11	0.09
At1g62180	-0.40	0.07
At2g17640	-0.04	0.11
At2g43750	0.02	0.09
At3g01120	0.11	0.07
At3g03630	-0.02	0.08
At3g04940	0.03	0.10
At3g13110	-0.22	0.07
At3g22460	0.05	0.12
At3g22890	-0.35	0.08
At3g57050	-0.11	0.06
At3g59760	-0.08	0.09
At3g61440	-0.11	0.08
At4g04610	-0.34	0.07
At4g14680	-0.34	0.07
At4g14880	0.09	0.11
At4g21990	-0.33	0.07
At5g04590	-0.38	0.08
At5g20980	-0.17	0.05
At5g28020	0.10	0.11
At5g28030	0.06	0.11
At5g43780	-0.34	0.08
At5g56760	0.04	0.09
At3g01910	-0.32	0.08
At1g64190	-0.26	0.10
At1g71100	0.15	0.10
At2g01290	0.06	0.10
At2g16790	-0.14	0.06
At3g02360	-0.29	0.10
At3g04790	0.10	0.10
At5g41670	-0.27	0.10
At5g44520	0.02	0.08
At1g65930	-0.33	0.08
At2g18450	-0.31	0.10
At2g20420	-0.06	0.09
At2g42790	-0.21	0.07
At2g44350	-0.22	0.07
At2g47510	-0.17	0.08
At3g27380	-0.44	0.06
At3g58740	-0.24	0.08
At3g58750	-0.17	0.07
At3g60100	-0.15	0.08
At4g00570	-0.09	0.09
At4g26970	-0.25	0.08
At4g35830	-0.16	0.09
At5g09600	-0.06	0.07
At5g14590	-0.23	0.07
At5g23250	0.08	0.13
At5g40650	-0.45	0.08
At5g50950	-0.27	0.07
At5g55070	-0.28	0.07
At5g65750	-0.48	0.07
At5g66760	-0.36	0.10
At1g22940	0.03	0.08
At4g35460	-0.02	0.11
At1g72810	-0.20	0.06
At4g29840	-0.15	0.07
At1g11840	-0.33	0.10
At3g10850	-0.46	0.07
At1g06410	-0.27	0.07
At1g16980	-0.27	0.07
At1g22210	-0.39	0.06
At1g23870	-0.24	0.06
At1g35910	-0.48	0.07
At1g60140	-0.23	0.07
At1g68020	-0.21	0.07
At1g70290	-0.31	0.06
At1g78580	-0.44	0.06
At2g18700	-0.36	0.06
At2g22190	-0.44	0.06
At4g12430	-0.44	0.05
At4g17770	-0.23	0.06
At4g22590	-0.44	0.05
At4g27550	-0.20	0.07
At5g10100	-0.44	0.05
At5g51460	-0.33	0.05
At5g65140	-0.41	0.06
At4g24040	-0.36	0.05
At1g15080	0.39	0.08
At1g51260	0.29	0.04
At1g75020	0.24	0.05
At2g01180	0.10	0.08
At2g19450	0.24	0.07
At3g18850	0.15	0.04
At1g06250	-0.42	0.06
At1g06800	-0.54	0.07
At1g09390	0.05	0.10
At1g10740	-0.26	0.09
At1g18460	-0.23	0.07
At1g27690	-0.42	0.09
At1g28640	-0.06	0.08
At1g28670	-0.08	0.09
At1g30370	-0.47	0.06
At1g53940	-0.22	0.09
At1g53990	-0.29	0.08
At1g73920	-0.29	0.06
At2g27360	-0.12	0.08
At2g30550	-0.43	0.06
At2g31100	-0.50	0.06
At2g31690	-0.34	0.05
At2g42690	-0.33	0.08
At3g44520	-0.35	0.10
At3g48460	-0.13	0.07
At3g55190	-0.28	0.07
At4g16820	-0.53	0.06
At4g18550	-0.47	0.08
At5g03980	-0.16	0.08
At5g14180	0.00	0.09
At5g18630	-0.16	0.06
At5g18640	-0.01	0.06
At1g11870	-0.30	0.06
At1g14610	-0.43	0.06
At1g17960	-0.41	0.06
At1g27160	-0.08	0.02
At1g29870	-0.40	0.06
At1g29880	-0.32	0.05
At1g50200	-0.33	0.08
At1g66530	-0.23	0.07
At1g68420	-0.20	0.02
At1g70980	-0.24	0.07
At2g31170	-0.41	0.06
At2g33840	-0.42	0.05
At2g40660	-0.38	0.06
At3g02660	-0.14	0.08
At3g02760	-0.38	0.07
At3g04600	-0.38	0.06
At3g07420	-0.31	0.06
At3g11710	-0.55	0.06
At3g13490	-0.41	0.06
At3g44740	-0.10	0.05
At3g46100	-0.14	0.08
At3g48110	-0.17	0.06
At3g55400	-0.31	0.06
At3g56300	-0.39	0.07
At4g04350	-0.49	0.06
At4g10320	-0.31	0.06
At4g13780	-0.42	0.06
At4g17300	-0.28	0.07
At4g26300	-0.25	0.06
At4g26870	-0.39	0.06
At4g31180	-0.37	0.06
At4g33760	-0.20	0.06
At4g39280	-0.54	0.07
At5g16710	-0.27	0.06
At5g19720	-0.65	0.05
At5g26710	-0.40	0.06
At5g26830	-0.42	0.06
At5g27470	-0.54	0.06
At5g38750	-0.32	0.05
At5g38830	-0.44	0.06
At5g49030	-0.36	0.07
At5g52520	-0.35	0.06
At5g64050	-0.26	0.08
At1g29410	-0.32	0.07
At1g51110	-0.22	0.06
At1g51570	-0.23	0.06
At2g04400	-0.21	0.07
At2g29690	-0.33	0.05
At3g54640	0.07	0.08
At3g55870	-0.30	0.05
At3g57880	-0.27	0.05
At3g61720	-0.08	0.04
At4g02610	0.01	0.07
At4g27070	-0.25	0.09
At5g05730	-0.31	0.06
At5g06850	-0.20	0.05
At5g12970	-0.18	0.05
At5g17990	0.17	0.09
At5g38530	-0.25	0.08
At5g48220	-0.24	0.08
At5g54810	-0.22	0.10
At5g48230	0.18	0.13
At1g06570	-0.28	0.09
At1g12050	-0.23	0.09
At2g20610	-0.15	0.06
At2g24850	-0.10	0.07
At2g47510	-0.17	0.08
At4g00570	-0.09	0.09
At4g23590	-0.14	0.06
At4g23600	-0.15	0.05
At4g28420	-0.08	0.06
At5g36160	0.12	0.06
At5g50950	-0.27	0.07
At5g53970	0.07	0.07
At5g54080	-0.23	0.08
At1g15690	0.61	0.11
At1g30620	-0.28	0.08
At1g64440	-0.22	0.10
At2g18230	-0.34	0.05
At2g34850	-0.46	0.08
At2g46860	-0.41	0.03
At3g03250	-0.15	0.06
At3g53620	-0.26	0.04
At4g10960	-0.20	0.09
At4g20460	-0.16	0.08
At4g23920	-0.28	0.09
At5g09650	-0.40	0.07
At5g44480	-0.25	0.08
At1g31070	-0.42	0.08
At2g35020	-0.19	0.07
At5g18070	-0.16	0.09
At1g16350	-0.12	0.10
At1g79470	-0.10	0.11
At2g26230	-0.29	0.06
At4g34890	-0.10	0.08
At4g34900	-0.09	0.08
At1g67550	-0.10	0.10
At2g31810	-0.07	0.06
At3g23940	-0.10	0.11
At3g48560	-0.13	0.08
At3g58610	-0.07	0.09
At5g16290	-0.15	0.06
At1g21400	-0.45	0.06
At3g25530	0.07	0.10
At3g60510	-0.17	0.08
At4g16210	-0.06	0.08
At4g16800	0.07	0.09
At4g20930	-0.13	0.09
At4g31810	-0.19	0.07
At5g43280	0.06	0.07
At1g06570	-0.28	0.09
At1g64970	-0.18	0.07
At2g18950	0.55	0.05
At3g63410	-0.29	0.08
At4g32770	-0.43	0.09
At1g08550	-0.34	0.06
At5g67030	-0.30	0.09
At2g21370	-0.25	0.09
At5g49650	-0.22	0.08
At5g57655	-0.40	0.09
At1g43670	-0.15	0.09
At1g48430	0.09	0.10
At2g01140	-0.26	0.08
At2g21330	-0.13	0.08
At2g36460	-0.15	0.09
At2g45290	-0.25	0.09
At3g17770	0.09	0.10
At3g52930	-0.22	0.09
At3g54050	-0.22	0.09
At4g10750	-0.20	0.09
At4g26520	-0.08	0.08
At4g26530	-0.11	0.09
At4g38970	-0.18	0.08
At5g03690	-0.19	0.09
At5g64380	-0.24	0.09
